Bench mbasis, FFT prime p = 882705526964617217, bit length = 60
rdim	cdim	order	app-rcmp	app-rupd	int-rcmp	int-rupd
128	8	16	0.04368535	0.05063595	0.04191211	0.05102501
128	8	32	0.10655177	0.14323148	0.10196117	0.14036649
128	8	64	0.29035684	0.45055473	0.28313516	0.44914018
128	8	128	0.89581617	1.56130105	0.86746641	1.56336333
128	15	2	0.00624066	0.00560192	0.00604626	0.00560394
128	15	4	0.01185113	0.01101604	0.01117328	0.01114528
128	15	8	0.02256394	0.02397657	0.02196176	0.02376563
128	15	16	0.05501511	0.06616021	0.05031122	0.06528818
128	15	32	0.14793870	0.20377232	0.13451083	0.20428859
128	15	64	0.44522384	0.70070034	0.40798702	0.70874230
128	15	128	1.50540628	2.57612191	1.34631608	2.58912535
128	22	2	0.00641272	0.00560635	0.00614812	0.00561377
128	22	4	0.01232898	0.01121157	0.01154023	0.01125972
128	22	8	0.02720727	0.02833641	0.02492106	0.02815944
128	22	16	0.06700028	0.07929643	0.06007962	0.07974423
128	22	32	0.18876600	0.25863590	0.16362137	0.26063992
128	22	64	0.60143270	0.92553983	0.51367143	0.93985765
128	22	128	2.12724105	3.46719494	1.77859234	3.51117673
128	29	2	0.00649668	0.00556821	0.00615642	0.00556542
128	29	4	0.01260152	0.01138218	0.01170247	0.01115980
128	29	8	0.02963405	0.03077625	0.02580728	0.03034952
128	29	16	0.07695711	0.09204814	0.06838041	0.09159548
128	29	32	0.22955181	0.30651849	0.19205971	0.30873725
128	29	64	0.76558421	1.11319213	0.60885973	1.11064349
128	29	128	2.75133562	4.23323604	2.14685314	4.25389857
128	36	2	0.00643777	0.00539666	0.00607656	0.00538493
128	36	4	0.01394352	0.01208924	0.01254472	0.01207007
128	36	8	0.03155413	0.03095756	0.02776303	0.03088309
128	36	16	0.08529620	0.09556005	0.07042197	0.09337309
128	36	32	0.26088206	0.32082167	0.20749520	0.32066558
128	36	64	0.88755111	1.16039331	0.68383209	1.17511009
128	36	128	3.25015668	4.42493678	2.44041094	4.44655533
128	43	2	0.00673771	0.00553240	0.00605953	0.00538586
128	43	4	0.01508000	0.01312253	0.01346060	0.01303170
128	43	8	0.03598695	0.03351687	0.03023007	0.03346434
128	43	16	0.09940731	0.10516391	0.07882319	0.10483665
128	43	32	0.30671633	0.35456549	0.23033743	0.35644389
